,Crash ID,Crash Total Injury Count,Fatal Crash Flag,Person Injury Severity,Person Not Injured Count,Person Total Injury Count,Contributing Factors,Crash Date,Crash Month,Crash Total Injury Count.1,Day of Week,Hour of Day,Intersecting Street Name,Number of Lanes,Road Class,Roadway Type,Speed Limit,ST_NAME,Surface Condition,Weather Condition,Charge,Citation,Person Age,Person Gender,geometry
26,18675486,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION; FAILED TO CONTROL SPEED,44563,1,0,SUNDAY,04:00 - 04:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",45,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,2 - FEMALE,POINT (2391549.3215166777 7119409.89791657)
27,18675923,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED;FAILED TO YIELD RIGHT OF WAY - YIELD SIGN,44563,1,0,SUNDAY,13:00 - 13:59,US0380,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,52,1 - MALE,POINT (2374225.999634794 7132011.420621368)
28,18675923,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED;FAILED TO YIELD RIGHT OF WAY - YIELD SIGN,44563,1,0,SUNDAY,13:00 - 13:59,US0380,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,64,1 - MALE,POINT (2374225.999634794 7132011.420621368)
29,18693708,0,0,99 - UNKNOWN,0,0,DISREGARD STOP AND GO SIGNAL,44563,1,0,SUNDAY,18:00 - 18:59,SL0288,No Data,US & STATE HIGHWAYS,No Data,50,FM 426,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2399462.4325285824 7127096.579378254)
30,18693708,0,0,N - NOT INJURED,1,0,DISREGARD STOP AND GO SIGNAL,44563,1,0,SUNDAY,18:00 - 18:59,SL0288,No Data,US & STATE HIGHWAYS,No Data,50,FM 426,1 - DRY,1 - CLEAR,NO CHARGES,No Data,49,1 - MALE,POINT (2399462.4325285824 7127096.579378254)
32,18679030,1,0,C - POSSIBLE INJURY,0,1,FAILED TO CONTROL SPEED,44564,1,1,MONDAY,10:00 - 10:59,IH0035,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,16,2 - FEMALE,POINT (2372699.2559576654 7142319.175525801)
33,18679030,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,1,MONDAY,10:00 - 10:59,IH0035,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,13,2 - FEMALE,POINT (2372699.2559576654 7142319.175525801)
34,18679030,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,1,MONDAY,10:00 - 10:59,IH0035,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,10,2 - FEMALE,POINT (2372699.2559576654 7142319.175525801)
35,18679030,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,1,MONDAY,10:00 - 10:59,IH0035,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,26,2 - FEMALE,POINT (2372699.2559576654 7142319.175525801)
37,18680331,0,0,99 - UNKNOWN,0,0,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,44564,1,0,MONDAY,17:00 - 17:59,SL0288,No Data,US & STATE HIGHWAYS,No Data,30,BRINKER RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2398024.312559019 7119468.594788716)
38,18680331,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,44564,1,0,MONDAY,17:00 - 17:59,SL0288,No Data,US & STATE HIGHWAYS,No Data,30,BRINKER RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,44,2 - FEMALE,POINT (2398024.312559019 7119468.594788716)
39,18686277,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,0,MONDAY,16:00 - 16:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,24,2 - FEMALE,POINT (2399419.652541544 7123067.891237024)
40,18686277,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,0,MONDAY,16:00 - 16:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,35,1 - MALE,POINT (2399419.652541544 7123067.891237024)
41,18686277,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,0,MONDAY,16:00 - 16:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,60,2 - FEMALE,POINT (2399419.652541544 7123067.891237024)
42,18686277,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,0,MONDAY,16:00 - 16:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,25,1 - MALE,POINT (2399419.652541544 7123067.891237024)
43,18686279,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44564,1,0,MONDAY,16:00 - 16:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,46,1 - MALE,POINT (2392427.6876838477 7119040.6544121215)
44,18686279,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44564,1,0,MONDAY,16:00 - 16:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,40,1 - MALE,POINT (2392427.6876838477 7119040.6544121215)
45,18686279,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44564,1,0,MONDAY,16:00 - 16:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,17,1 - MALE,POINT (2392427.6876838477 7119040.6544121215)
46,18692761,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44564,1,0,MONDAY,20:00 - 20:59,HERITAGE TRL,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,"NO DRIVERS LICENSE, FAIL TO YIELD RIGHT OF WAY TURNING LEFT","10405239, 10405239",35,1 - MALE,POINT (2376767.8924425826 7132940.278280628)
47,18692761,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44564,1,0,MONDAY,20:00 - 20:59,HERITAGE TRL,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,24,1 - MALE,POINT (2376767.8924425826 7132940.278280628)
48,18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,35,1 - MALE,POINT (2374640.1964241876 7132966.281558575)
49,18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,30,2 - FEMALE,POINT (2374640.1964241876 7132966.281558575)
50,18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,8,1 - MALE,POINT (2374640.1964241876 7132966.281558575)
51,18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,9,1 - MALE,POINT (2374640.1964241876 7132966.281558575)
52,18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,0,1 - MALE,POINT (2374640.1964241876 7132966.281558575)
53,18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,24,2 - FEMALE,POINT (2374640.1964241876 7132966.281558575)
54,18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,1,1 - MALE,POINT (2374640.1964241876 7132966.281558575)
55,19322105,0,0,99 - UNKNOWN,0,0,CHANGED LANE WHEN UNSAFE,44564,1,0,MONDAY,16:00 - 16:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2373105.872704298 7136064.161087825)
56,19322105,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44564,1,0,MONDAY,16:00 - 16:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,34,1 - MALE,POINT (2373105.872704298 7136064.161087825)
57,18679453,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44565,1,0,TUESDAY,09:00 - 09:59,WELLINGTON DR,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",45,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,83,1 - MALE,POINT (2392177.3323591817 7141096.810405824)
58,18679453,0,0,99 - UNKNOWN,0,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44565,1,0,TUESDAY,09:00 - 09:59,WELLINGTON DR,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",45,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,84,2 - FEMALE,POINT (2392177.3323591817 7141096.810405824)
59,18679453,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44565,1,0,TUESDAY,09:00 - 09:59,WELLINGTON DR,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",45,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,51,1 - MALE,POINT (2392177.3323591817 7141096.810405824)
63,18679764,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED; ROAD RAGE,44565,1,1,TUESDAY,14:00 - 14:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,50,2 - FEMALE,POINT (2398784.9522793144 7120555.229812649)
64,18679764,1,0,C - POSSIBLE INJURY,0,1,FAILED TO CONTROL SPEED; ROAD RAGE,44565,1,1,TUESDAY,14:00 - 14:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,36,2 - FEMALE,POINT (2398784.9522793144 7120555.229812649)
65,18679764,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED; ROAD RAGE,44565,1,1,TUESDAY,14:00 - 14:59,,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,28,2 - FEMALE,POINT (2398784.9522793144 7120555.229812649)
66,18680019,0,0,N - NOT INJURED,1,0,FATIGUED OR ASLEEP,44565,1,0,TUESDAY,06:00 - 06:59,UNKNOWN,No Data,FARM TO MARKET,No Data,30,FM 426,1 - DRY,1 - CLEAR,NO CHARGES,No Data,19,2 - FEMALE,POINT (2390558.692126069 7128124.086583755)
67,18680019,0,0,99 - UNKNOWN,0,0,FATIGUED OR ASLEEP,44565,1,0,TUESDAY,06:00 - 06:59,UNKNOWN,No Data,FARM TO MARKET,No Data,30,FM 426,1 - DRY,1 - CLEAR,NO CHARGES,No Data,0,1 - MALE,POINT (2390558.692126069 7128124.086583755)
68,18680341,0,0,99 - UNKNOWN,0,0,DRIVER INATTENTION,44565,1,0,TUESDAY,20:00 - 20:59,,No Data,CITY STREET,No Data,30,MULKEY LN,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN,POINT (2393149.81442547 7129645.510144536)
69,18681995,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44565,1,0,TUESDAY,18:00 - 18:59,PROMINENCE PKWY,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",50,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,18,1 - MALE,POINT (2399616.753094369 7132012.548225155)
70,18681995,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44565,1,0,TUESDAY,18:00 - 18:59,PROMINENCE PKWY,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",50,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,33,1 - MALE,POINT (2399616.753094369 7132012.548225155)
71,18683147,0,0,N - NOT INJURED,1,0,DISREGARD STOP AND GO SIGNAL,44565,1,0,TUESDAY,16:00 - 16:59,FM0428,4,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,84,1 - MALE,POINT (2398062.970781926 7139945.522055641)
72,18683147,0,0,N - NOT INJURED,1,0,DISREGARD STOP AND GO SIGNAL,44565,1,0,TUESDAY,16:00 - 16:59,FM0428,4,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,78,2 - FEMALE,POINT (2398062.970781926 7139945.522055641)
73,18686278,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44565,1,0,TUESDAY,15:00 - 15:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,34,1 - MALE,POINT (2375213.896763072 7128654.694141771)
74,18686278,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44565,1,0,TUESDAY,15:00 - 15:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,41,1 - MALE,POINT (2375213.896763072 7128654.694141771)
75,18686280,0,0,N - NOT INJURED,1,0,FAULTY EVASIVE ACTION,44565,1,0,TUESDAY,17:00 - 17:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,2 - FEMALE,POINT (2393457.9203036455 7118228.289634134)
76,18686281,0,0,N - NOT INJURED,1,0,FAILED TO DRIVE IN SINGLE LANE,44565,1,0,TUESDAY,10:00 - 10:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,33,2 - FEMALE,POINT (2376928.9201745572 7125786.282827048)
77,18686281,0,0,N - NOT INJURED,1,0,FAILED TO DRIVE IN SINGLE LANE,44565,1,0,TUESDAY,10:00 - 10:59,,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,31,1 - MALE,POINT (2376928.9201745572 7125786.282827048)
78,18706205,0,0,N - NOT INJURED,1,0,OVERTAKE AND PASS INSUFFICIENT CLEARANCE,44565,1,0,TUESDAY,03:00 - 03:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,36,1 - MALE,POINT (2374526.5280234204 7130990.182997912)
79,18706205,0,0,N - NOT INJURED,1,0,OVERTAKE AND PASS INSUFFICIENT CLEARANCE,44565,1,0,TUESDAY,03:00 - 03:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,46,1 - MALE,POINT (2374526.5280234204 7130990.182997912)
80,18706205,0,0,N - NOT INJURED,1,0,OVERTAKE AND PASS INSUFFICIENT CLEARANCE,44565,1,0,TUESDAY,03:00 - 03:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,49,2 - FEMALE,POINT (2374526.5280234204 7130990.182997912)
81,18683137,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE;DRIVER INATTENTION;CELL/MOBILE DEVICE USE - OTHER,44566,1,0,WEDNESDAY,07:00 - 07:59,,No Data,CITY STREET,No Data,30,W SHADY SHORES RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,22,2 - FEMALE,POINT (2404030.45323193 7109598.387714135)
82,18684437,1,0,C - POSSIBLE INJURY,0,1,DRIVER INATTENTION,44566,1,1,WEDNESDAY,20:00 - 20:59,,4,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",30,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,30,1 - MALE,POINT (2387078.332112609 7124225.9192693345)
83,18686718,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION;FAILED TO CONTROL SPEED;OTHER (EXPLAIN IN NARRATIVE),44566,1,0,WEDNESDAY,18:00 - 18:59,NOT REPORTED,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035W,1 - DRY,1 - CLEAR,NO CHARGES,No Data,18,1 - MALE,POINT (2376175.3514935807 7120746.905621192)
