Crash ID,Crash Total Injury Count,Fatal Crash Flag,Person Injury Severity,Person Not Injured Count,Person Total Injury Count,Contributing Factors,Crash Date,Crash Month,Crash Total Injury Count,Day of Week,Hour of Day,Intersecting Street Name,Latitude,Longitude,Number of Lanes,Road Class,Roadway Type,Speed Limit,Street Name,Surface Condition,Weather Condition,Charge,Citation,Person Age,Person Gender
18693708,0,0,N - NOT INJURED,1,0,DISREGARD STOP AND GO SIGNAL,44563,1,0,SUNDAY,18:00 - 18:59,SL0288,33.21290419,-97.09079247,No Data,US & STATE HIGHWAYS,No Data,50,FM 426,1 - DRY,1 - CLEAR,NO CHARGES,No Data,49,1 - MALE
18698939,0,0,N - NOT INJURED,1,0,BACKED WITHOUT SAFETY,44563,1,0,SUNDAY,18:00 - 18:59,N/A,No Data,No Data,No Data,NON TRAFFICWAY,No Data,-1,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,18,2 - FEMALE
18679030,1,0,C - POSSIBLE INJURY,0,1,FAILED TO CONTROL SPEED,44564,1,1,MONDAY,10:00 - 10:59,IH0035,33.25569702,-97.17766954,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,16,2 - FEMALE
18679030,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,1,MONDAY,10:00 - 10:59,IH0035,33.25569702,-97.17766954,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,13,2 - FEMALE
18679030,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,1,MONDAY,10:00 - 10:59,IH0035,33.25569702,-97.17766954,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,10,2 - FEMALE
18679030,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,1,MONDAY,10:00 - 10:59,IH0035,33.25569702,-97.17766954,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,26,2 - FEMALE
18679586,0,0,99 - UNKNOWN,0,0,NONE,44564,1,0,MONDAY,15:00 - 15:59,N/A,No Data,No Data,No Data,NON TRAFFICWAY,No Data,-1,SL0288,98 - OTHER (EXPLAIN IN NARRATIVE),1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN
18680331,0,0,99 - UNKNOWN,0,0,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,44564,1,0,MONDAY,17:00 - 17:59,SL0288,33.19199296,-97.0958278,No Data,US & STATE HIGHWAYS,No Data,30,BRINKER RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN
18680331,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - PRIVATE DRIVE,44564,1,0,MONDAY,17:00 - 17:59,SL0288,33.19199296,-97.0958278,No Data,US & STATE HIGHWAYS,No Data,30,BRINKER RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,44,2 - FEMALE
18686277,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,0,MONDAY,16:00 - 16:59,N/A,33.20183365,-97.091109,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,24,2 - FEMALE
18686277,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,0,MONDAY,16:00 - 16:59,N/A,33.20183365,-97.091109,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,35,1 - MALE
18686277,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,0,MONDAY,16:00 - 16:59,N/A,33.20183365,-97.091109,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,60,2 - FEMALE
18686277,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44564,1,0,MONDAY,16:00 - 16:59,N/A,33.20183365,-97.091109,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",40,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,25,1 - MALE
18686279,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44564,1,0,MONDAY,16:00 - 16:59,NOT REPORTED,33.1910211,-97.11414023,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,46,1 - MALE
18686279,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44564,1,0,MONDAY,16:00 - 16:59,NOT REPORTED,33.1910211,-97.11414023,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,40,1 - MALE
18686279,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44564,1,0,MONDAY,16:00 - 16:59,NOT REPORTED,33.1910211,-97.11414023,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,17,1 - MALE
18692761,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44564,1,0,MONDAY,20:00 - 20:59,HERITAGE TRL,33.22977932,-97.16475046,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,"NO DRIVERS LICENSE, FAIL TO YIELD RIGHT OF WAY TURNING LEFT","10405239, 10405239",35,1 - MALE
18692761,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44564,1,0,MONDAY,20:00 - 20:59,HERITAGE TRL,33.22977932,-97.16475046,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,24,1 - MALE
18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,N/A,33.22992492,-97.17170732,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,35,1 - MALE
18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,N/A,33.22992492,-97.17170732,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,30,2 - FEMALE
18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,N/A,33.22992492,-97.17170732,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,8,1 - MALE
18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,N/A,33.22992492,-97.17170732,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,9,1 - MALE
18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,N/A,33.22992492,-97.17170732,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,0,1 - MALE
18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,N/A,33.22992492,-97.17170732,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,24,2 - FEMALE
18698529,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE,44564,1,0,MONDAY,18:00 - 18:59,N/A,33.22992492,-97.17170732,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,US0380,1 - DRY,1 - CLEAR,NO CHARGES,No Data,1,1 - MALE
19322105,0,0,99 - UNKNOWN,0,0,CHANGED LANE WHEN UNSAFE,44564,1,0,MONDAY,16:00 - 16:59,NOT REPORTED,33.23849214,-97.17659721,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,No Data,99 - UNKNOWN
19322105,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44564,1,0,MONDAY,16:00 - 16:59,NOT REPORTED,33.23849214,-97.17659721,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,2 - CLOUDY,NO CHARGES,No Data,34,1 - MALE
18679453,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44565,1,0,TUESDAY,09:00 - 09:59,WELLINGTON DR,33.25164751,-97.11400735,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",45,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,83,1 - MALE
18679453,0,0,99 - UNKNOWN,0,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44565,1,0,TUESDAY,09:00 - 09:59,WELLINGTON DR,33.25164751,-97.11400735,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",45,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,84,2 - FEMALE
18679453,0,0,N - NOT INJURED,1,0,FAILED TO YIELD RIGHT OF WAY - TURNING LEFT,44565,1,0,TUESDAY,09:00 - 09:59,WELLINGTON DR,33.25164751,-97.11400735,4,FARM TO MARKET,"4 OR MORE LANES, UNDIVIDED",45,FM0428,1 - DRY,1 - CLEAR,NO CHARGES,No Data,51,1 - MALE
18679588,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION,44565,1,0,TUESDAY,12:00 - 12:59,N/A,No Data,No Data,No Data,NON TRAFFICWAY,No Data,-1,BRINKER RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,71,2 - FEMALE
18679588,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION,44565,1,0,TUESDAY,12:00 - 12:59,N/A,No Data,No Data,No Data,NON TRAFFICWAY,No Data,-1,BRINKER RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,49,2 - FEMALE
18679588,0,0,N - NOT INJURED,1,0,DRIVER INATTENTION,44565,1,0,TUESDAY,12:00 - 12:59,N/A,No Data,No Data,No Data,NON TRAFFICWAY,No Data,-1,BRINKER RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,19,2 - FEMALE
18679764,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED; ROAD RAGE,44565,1,1,TUESDAY,14:00 - 14:59,N/A,33.19495142,-97.0932939,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,50,2 - FEMALE
18679764,1,0,C - POSSIBLE INJURY,0,1,FAILED TO CONTROL SPEED; ROAD RAGE,44565,1,1,TUESDAY,14:00 - 14:59,N/A,33.19495142,-97.0932939,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,36,2 - FEMALE
18679764,1,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED; ROAD RAGE,44565,1,1,TUESDAY,14:00 - 14:59,N/A,33.19495142,-97.0932939,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",45,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,28,2 - FEMALE
18680019,0,0,N - NOT INJURED,1,0,FATIGUED OR ASLEEP,44565,1,0,TUESDAY,06:00 - 06:59,UNKNOWN,33.21605299,-97.11985936,No Data,FARM TO MARKET,No Data,30,FM 426,1 - DRY,1 - CLEAR,NO CHARGES,No Data,19,2 - FEMALE
18680019,0,0,99 - UNKNOWN,0,0,FATIGUED OR ASLEEP,44565,1,0,TUESDAY,06:00 - 06:59,UNKNOWN,33.21605299,-97.11985936,No Data,FARM TO MARKET,No Data,30,FM 426,1 - DRY,1 - CLEAR,NO CHARGES,No Data,0,1 - MALE
18680341,0,0,99 - UNKNOWN,0,0,DRIVER INATTENTION,44565,1,0,TUESDAY,20:00 - 20:59,N/A,33.2201405,-97.11132156,No Data,CITY STREET,No Data,30,MULKEY LN,1 - DRY,1 - CLEAR,NO CHARGES,No Data,No Data,99 - UNKNOWN
18681995,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44565,1,0,TUESDAY,18:00 - 18:59,PROMINENCE PKWY,33.22640911,-97.09007219,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",50,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,18,1 - MALE
18681995,0,0,N - NOT INJURED,1,0,FAILED TO CONTROL SPEED,44565,1,0,TUESDAY,18:00 - 18:59,PROMINENCE PKWY,33.22640911,-97.09007219,6,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",50,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,33,1 - MALE
18683147,0,0,N - NOT INJURED,1,0,DISREGARD STOP AND GO SIGNAL,44565,1,0,TUESDAY,16:00 - 16:59,FM0428,33.24826853,-97.09480608,4,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,84,1 - MALE
18683147,0,0,N - NOT INJURED,1,0,DISREGARD STOP AND GO SIGNAL,44565,1,0,TUESDAY,16:00 - 16:59,FM0428,33.24826853,-97.09480608,4,US & STATE HIGHWAYS,"4 OR MORE LANES, DIVIDED",60,SL0288,1 - DRY,1 - CLEAR,NO CHARGES,No Data,78,2 - FEMALE
18686278,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44565,1,0,TUESDAY,15:00 - 15:59,NOT REPORTED,33.21805528,-97.17000973,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,34,1 - MALE
18686278,0,0,N - NOT INJURED,1,0,CHANGED LANE WHEN UNSAFE,44565,1,0,TUESDAY,15:00 - 15:59,NOT REPORTED,33.21805528,-97.17000973,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,41,1 - MALE
18686280,0,0,N - NOT INJURED,1,0,FAULTY EVASIVE ACTION,44565,1,0,TUESDAY,17:00 - 17:59,NOT REPORTED,33.18875105,-97.11080781,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,21,2 - FEMALE
18686281,0,0,N - NOT INJURED,1,0,FAILED TO DRIVE IN SINGLE LANE,44565,1,0,TUESDAY,10:00 - 10:59,N/A,33.21011211,-97.16452129,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,33,2 - FEMALE
18686281,0,0,N - NOT INJURED,1,0,FAILED TO DRIVE IN SINGLE LANE,44565,1,0,TUESDAY,10:00 - 10:59,N/A,33.21011211,-97.16452129,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035E,1 - DRY,1 - CLEAR,NO CHARGES,No Data,31,1 - MALE
18706205,0,0,N - NOT INJURED,1,0,OVERTAKE AND PASS INSUFFICIENT CLEARANCE,44565,1,0,TUESDAY,03:00 - 03:59,NOT REPORTED,33.22449789,-97.17216072,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,36,1 - MALE
18706205,0,0,N - NOT INJURED,1,0,OVERTAKE AND PASS INSUFFICIENT CLEARANCE,44565,1,0,TUESDAY,03:00 - 03:59,NOT REPORTED,33.22449789,-97.17216072,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,46,1 - MALE
18706205,0,0,N - NOT INJURED,1,0,OVERTAKE AND PASS INSUFFICIENT CLEARANCE,44565,1,0,TUESDAY,03:00 - 03:59,NOT REPORTED,33.22449789,-97.17216072,4,INTERSTATE,"4 OR MORE LANES, DIVIDED",70,IH0035,1 - DRY,1 - CLEAR,NO CHARGES,No Data,49,2 - FEMALE
18683137,0,0,N - NOT INJURED,1,0,DISTRACTION IN VEHICLE;DRIVER INATTENTION;CELL/MOBILE DEVICE USE - OTHER,44566,1,0,WEDNESDAY,07:00 - 07:59,N/A,33.16464419,-97.07663247,No Data,CITY STREET,No Data,30,W SHADY SHORES RD,1 - DRY,1 - CLEAR,NO CHARGES,No Data,22,2 - FEMALE
18684437,1,0,C - POSSIBLE INJURY,0,1,DRIVER INATTENTION,44566,1,1,WEDNESDAY,20:00 - 20:59,N/A,33.20546469,-97.13140497,4,US & STATE HIGHWAYS,"4 OR MORE LANES, UNDIVIDED",30,US0077,1 - DRY,1 - CLEAR,NO CHARGES,No Data,30,1 - MALE
